Country Name,Country Code,year,land_area
Japan,JPN,2020,364500
Kazakhstan,KAZ,2020,2699700
Kenya,KEN,2020,569140
Kyrgyz Republic,KGZ,2020,191800
Cambodia,KHM,2020,176520
Kiribati,KIR,2020,810
St. Kitts and Nevis,KNA,2020,260
"Korea, Rep.",KOR,2020,97600
Kuwait,KWT,2020,17820
Latin America & Caribbean (excluding high income),LAC,2020,17944205.63
Lao PDR,LAO,2020,230800
Lebanon,LBN,2020,10230
Liberia,LBR,2020,96320
Libya,LBY,2020,1759540
St. Lucia,LCA,2020,610
Latin America & Caribbean,LCN,2020,20043375.63
Least developed countries: UN classification,LDC,2020,20359993.23
Low income,LIC,2020,14745302.23
Liechtenstein,LIE,2020,160
Sri Lanka,LKA,2020,61860
Lower middle income,LMC,2020,17879554
Low & middle income,LMY,2020,77133374.26
Lesotho,LSO,2020,30360
Late-demographic dividend,LTE,2020,44521586.4
Lithuania,LTU,2020,62620
Luxembourg,LUX,2020,2574.46
Latvia,LVA,2020,62230
"Macao SAR, China",MAC,2020,32.9
St. Martin (French part),MAF,2020,50
Morocco,MAR,2020,446300
Monaco,MCO,2020,2.027
Moldova,MDA,2020,32884.6
Madagascar,MDG,2020,581800
Maldives,MDV,2020,300
Middle East & North Africa,MEA,2020,11217108
Mexico,MEX,2020,1943950
Marshall Islands,MHL,2020,180
Middle income,MIC,2020,62388072.03
North Macedonia,MKD,2020,25220
Mali,MLI,2020,1220190
Malta,MLT,2020,320
Myanmar,MMR,2020,652670
Middle East & North Africa (excluding high income),MNA,2020,8634843
Montenegro,MNE,2020,13450
Mongolia,MNG,2020,1557506.803
Northern Mariana Islands,MNP,2020,460
Mozambique,MOZ,2020,786380
Mauritania,MRT,2020,1030700
Mauritius,MUS,2020,1997
Malawi,MWI,2020,94280
Malaysia,MYS,2020,328550
North America,NAC,2020,18113064
Namibia,NAM,2020,823290
New Caledonia,NCL,2020,18280
Niger,NER,2020,1266700
Nigeria,NGA,2020,910770
Nicaragua,NIC,2020,120340
Netherlands,NLD,2020,33670
Norway,NOR,2020,364285
Nepal,NPL,2020,143350
Nauru,NRU,2020,20
New Zealand,NZL,2020,263310
OECD members,OED,2020,35508806.27
Oman,OMN,2020,309500
Other small states,OSS,2020,275703
Pakistan,PAK,2020,770880
Panama,PAN,2020,74180
Peru,PER,2020,1280000
Philippines,PHL,2020,298170
Palau,PLW,2020,460
Papua New Guinea,PNG,2020,452860
Poland,POL,2020,306130
Pre-demographic dividend,PRE,2020,20308679.83
Puerto Rico,PRI,2020,8870
"Korea, Dem. People's Rep.",PRK,2020,120410
Portugal,PRT,2020,91605.6
Paraguay,PRY,2020,397300
West Bank and Gaza,PSE,2020,6020
Pacific island small states,PSS,2020,64150
Post-demographic dividend,PST,2020,31345475.17
French Polynesia,PYF,2020,3471
Qatar,QAT,2020,11490
Romania,ROU,2020,230080
Russian Federation,RUS,2020,16376870
Rwanda,RWA,2020,24670
South Asia,SAS,2020,4770120
Saudi Arabia,SAU,2020,2149690
Sudan,SDN,2020,1868000
Senegal,SEN,2020,192530
Singapore,SGP,2020,718
Solomon Islands,SLB,2020,27990
Sierra Leone,SLE,2020,72180
El Salvador,SLV,2020,20720
San Marino,SMR,2020,60
Somalia,SOM,2020,627340
Serbia,SRB,2020,84090
Sub-Saharan Africa (excluding high income),SSA,2020,23890400.23
South Sudan,SSD,2020,631930
Sub-Saharan Africa,SSF,2020,23890860.23
Small states,SST,2020,733250.61
Sao Tome and Principe,STP,2020,960
Suriname,SUR,2020,160507.61
Slovak Republic,SVK,2020,48080
Slovenia,SVN,2020,20136.4
Sweden,SWE,2020,407280
Eswatini,SWZ,2020,17200
Sint Maarten (Dutch part),SXM,2020,34
Seychelles,SYC,2020,460
Syrian Arab Republic,SYR,2020,183630
Turks and Caicos Islands,TCA,2020,950
Chad,TCD,2020,1259200
East Asia & Pacific (IDA & IBRD countries),TEA,2020,15866144.8
Europe & Central Asia (IDA & IBRD countries),TEC,2020,22985330.6
Togo,TGO,2020,54390
Thailand,THA,2020,510890
Tajikistan,TJK,2020,138790
Turkmenistan,TKM,2020,469930
Latin America & the Caribbean (IDA & IBRD countries),TLA,2020,19918297.63
Timor-Leste,TLS,2020,14870
Middle East & North Africa (IDA & IBRD countries),TMN,2020,8628823
Tonga,TON,2020,720
South Asia (IDA & IBRD),TSA,2020,4770120
Sub-Saharan Africa (IDA & IBRD countries),TSS,2020,23890860.23
Trinidad and Tobago,TTO,2020,5130
Tunisia,TUN,2020,155360
Turkiye,TUR,2020,769630
Tuvalu,TUV,2020,30
Tanzania,TZA,2020,885800
Uganda,UGA,2020,200520
Ukraine,UKR,2020,579400
Upper middle income,UMC,2020,44508518.03
Uruguay,URY,2020,175020
United States,USA,2020,9147420
Uzbekistan,UZB,2020,440650
St. Vincent and the Grenadines,VCT,2020,390
"Venezuela, RB",VEN,2020,882050
British Virgin Islands,VGB,2020,150
Virgin Islands (U.S.),VIR,2020,350
Viet Nam,VNM,2020,313429
Vanuatu,VUT,2020,12190
World,WLD,2020,129944725.5
Samoa,WSM,2020,2780
Kosovo,XKX,2020,
"Yemen, Rep.",YEM,2020,527970
South Africa,ZAF,2020,1213090
Zambia,ZMB,2020,743390
Zimbabwe,ZWE,2020,386850
